"sto_plz";"bundesland";"gebaeude_baujahr";"energietraeger";"abrechnungsjahr";"gebaeude_nutzflaeche";"verbrauch_gesamt_kwh";"verbrauch_gesamt_kwh_spez";"Landkreis_von_GS";"gtype"
"12557";"Berlin";1996;"erdgas";2005;2869,2;242317,8;101,34;"Berlin, Stadt";"MFH"
"12161";"Berlin";1908;"heizoel";2009;2256;413280;219,83;"Berlin, Stadt";"MFH"
"10625";"Berlin";1919;"erdgas";2003;1680;61200;43,71;"Berlin, Stadt";"MFH"
"14055";"Berlin";1994;"erdgas";2006;5401,2;609498,9;135,41;"Berlin, Stadt";"MFH"
"10405";"Berlin";1985;"fernwaerme";2009;9977,69;1275330;153,38;"Berlin, Stadt";"MFH"
"10245";"Berlin";1996;"erdgas";2004;1669,2;119117,3;85,63;"Berlin, Stadt";"MFH"
"10318";"Berlin";1950;"heizoel";2007;5640;907200;193,02;"Berlin, Stadt";"MFH"
"10709";"Berlin";1910;"erdgas";2002;2241,6;331500,01;177,46;"Berlin, Stadt";"MFH"
"10249";"Berlin";1930;"erdgas";2003;825,6;76644;111,4;"Berlin, Stadt";"MFH"
"12247";"Berlin";1977;"heizoel";2013;2580;395468,64;183,94;"Berlin, Stadt";"MFH"
"10627";"Berlin";1910;"fernwaerme";2009;2728,8;349888;153,86;"Berlin, Stadt";"MFH"
"10707";"Berlin";1956;"erdgas";2007;19200;3e+05;18,75;"Berlin, Stadt";"MFH"
"10317";"Berlin";1870;"fernwaerme";2010;2468,4;295000;143,41;"Berlin, Stadt";"MFH"
"13357";"Berlin";1905;"heizoel";2015;3204;356580;133,55;"Berlin, Stadt";"MFH"
"10247";"Berlin";1918;"fernwaerme";2009;2880;327000;136,25;"Berlin, Stadt";"MFH"
"10247";"Berlin";1904;"fernwaerme";2004;3483,4;364660;125,63;"Berlin, Stadt";"MFH"
"12627";"Berlin";1985;"fernwaerme";2003;9613,2;683450;85,31;"Berlin, Stadt";"MFH"
"12437";"Berlin";1950;"fernwaerme";2003;1689,6;222081;157,73;"Berlin, Stadt";"MFH"
"14050";"Berlin";1960;"heizoel";2007;1935,96;332972,64;206,39;"Berlin, Stadt";"MFH"
"12167";"Berlin";1900;"erdgas";2011;4776;497303,1;124,95;"Berlin, Stadt";"MFH"
"13055";"Berlin";1996;"erdgas";2006;5426,4;317097,9;70,13;"Berlin, Stadt";"MFH"
"14089";"Berlin";1960;"erdgas";2009;18373,2;3669575,4;239,67;"Berlin, Stadt";"MFH"
